"","","OPEN INTEREST AT THE BEGINNING OF NEW EXPIRY","","","","","","","","","","","","","OPENING PRICE","",""
"Symbol (214)","","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","Jan 26","Feb 26","Mar 26","Apr 26","May 26","Jun 26","MoM OI Chg %","May 26","Jun 26","MoM Price Chg%"
"VEDL","-","80945050","78756600","75443450","91046650","106948850","104088800","92631350","77055750","62387500","50965700","15439900","39591050","156.42","739.5","347.1","-53.06"
"AMBER","-","-","486700","610700","486700","672300","1135300","912300","1309400","897400","1020500","1152200","2729600","136.9","8217","7377","-10.22"
"GODFRYPHLP","-","-","-","-","-","-","-","-","-","-","-","1199275","2556675","113.19","2125.2","2310.9","8.74"
"COCHINSHIP","-","-","-","-","-","-","-","-","-","-","-","1659200","3176000","91.42","1702.9","1535","-9.86"
"KFINTECH","-","-","2276100","1472400","2214450","2373750","3205550","2981000","5573500","2476500","2030000","2681000","4817125","79.68","955.05","841.55","-11.88"
"TATACONSUM","-","15517150","14513400","13835800","15890600","17767750","12280400","11461450","11596750","13055350","12868900","8784050","15092000","71.81","1153","1197.7","3.88"
"DALBHARAT","-","3129100","2697825","2201550","2212275","2181400","2230150","2717325","2778750","2379650","2096575","2220725","3524625","58.72","1925.6","1794.3","-6.82"
"ADANIPOWER","-","-","-","-","-","-","-","-","-","-","-","64077500","101054300","57.71","224.89","246.49","9.6"
"MOTILALOFS","-","-","-","-","-","-","-","-","-","-","-","2589275","4036975","55.91","786.85","874.6","11.15"
"NAUKRI","-","8867625","11004375","11995500","10543500","8935125","7739250","7786875","7957500","12540750","9786375","10032375","15321150","52.72","1012.3","988.75","-2.33"
"KAYNES","-","664300","688300","866300","1058400","1110800","1618000","2817200","3380100","3486800","3675200","2787100","4070650","46.05","4102.4","3212.1","-21.7"
"NHPC","-","79385600","51065600","59603200","46924800","53811200","61926400","71808000","71276800","78656000","64684800","83590400","120831950","44.55","85.7","78.32","-8.61"
"BOSCHLTD","-","278950","325850","262025","245775","209675","218350","193875","184600","195250","210475","240925","346750","43.92","37475","36060","-3.78"
"HYUNDAI","-","-","-","-","-","-","-","-","-","-","-","7796800","10848475","39.14","1766.5","1897.4","7.41"
"KPITTECH","-","5103200","4455600","3623600","4201200","3916400","3167475","3378750","3808000","5808900","6324000","5861175","8131775","38.74","737.15","764.85","3.76"
"ASHOKLEY","-","40152500","84740000","103975000","130005000","137375000","115445000","169760000","163195000","147565000","137665000","125655000","173570000","38.13","167.44","160.74","-4"
"KALYANKJIL","-","15162200","20025525","22329700","30517100","30268000","30973000","35027925","29859100","26972125","24038150","25228425","34734625","37.68","415.35","358.2","-13.76"
"PIIND","-","1564150","1561525","1744925","1601425","1657600","2276400","2261350","2705150","3411275","2810500","2719325","3674125","35.11","3097.3","2807.2","-9.37"
"ABCAPITAL","-","55570600","51379400","44550100","61603200","75264900","79394100","75652400","76114300","69288100","45904800","42160000","55982900","32.79","340.7","364.8","7.07"
"NBCC","-","52240500","53183000","51460500","59390500","60853000","76524500","96330000","86378500","87418500","78552500","72936500","95966000","31.57","95.13","96.5","1.44"
"TMPV","-","-","-","-","-","42734400","82830400","89448000","83362400","69092000","61113600","61508800","79480000","29.22","352.7","385.35","9.26"
"HDFCAMC","-","4723800","4788300","4047300","3939000","4146000","4259700","5949600","7068000","4433700","6483000","5175600","6684600","29.16","2777.4","2755.1","-0.8"
"BIOCON","-","36167500","37530000","40097500","39297500","40202500","40100000","44497500","40430000","38875000","31992500","31677500","40112500","26.63","364.4","439.85","20.71"
"DRREDDY","-","9230625","11280000","12368750","13205625","11996875","13488750","12109375","14570625","16804375","10772500","13900625","17575000","26.43","1355.3","1326.5","-2.12"
"HDFCLIFE","-","32737100","28716600","25692700","27728800","32274000","26250400","34104400","33836000","34338700","38537400","41855000","52350100","25.07","594.05","620.25","4.41"
"ICICIBANK","-","98463400","94227000","107086700","124357100","106537200","110294100","120638000","128141300","102830700","127444800","127591100","157894800","23.75","1299.1","1290.2","-0.69"
